"","state","bill","issue","status","index","seen","status_occurrence","state_code","region","division"
"1","Alabama","HB 261","Restricting Student & Educator Rights","Passed into Law",1,1,"status","AL","South","East South Central"
"2","Alabama",NA,NA,"Governor signed, 05/30/2023",1,1,"status_details_1","AL","South","East South Central"
"3","Alabama","HB 401","Free Speech & Expression Bans","Advancing",3,1,"status","AL","South","East South Central"
"4","Alabama",NA,"Restricting Student & Educator Rights","First read and referred to committee, 04/27/2023",3,1,"status_details_1","AL","South","East South Central"
"5","Alabama","HB 405","Other Anti-LGBTQ Bills","Advancing",5,1,"status","AL","South","East South Central"
"6","Alabama",NA,NA,"Indefinitely postponed, 05/31/2023",5,1,"status_details_1","AL","South","East South Central"
"7","Alabama","SB 261","Other Anti-LGBTQ Bills","Passed into Law",11,1,"status","AL","South","East South Central"
"8","Alabama",NA,NA,"Governor signed, 06/06/2023",11,1,"status_details_1","AL","South","East South Central"
"9","Alabama",NA,NA,"First read and referred to committee, 04/20/2023",7,1,"status_details_1","AL","South","East South Central"
"10","Alabama","SB 211","Restricting Student & Educator Rights","Advancing",9,1,"status","AL","South","East South Central"
"11","Alabama",NA,NA,"First read and referred to committee, 04/18/2023",9,1,"status_details_1","AL","South","East South Central"
"12","Alabama","HB 354","Restricting Student & Educator Rights","Advancing",7,1,"status","AL","South","East South Central"
"13","Alaska","HB 183","School Sports Bans","Advancing",13,1,"status","AK","West","Pacific"
"14","Alaska",NA,NA,"First read and referred to committee, 06/28/2023",13,1,"status_details_1","AK","West","Pacific"
"15","Alaska","HB 105","Curriculum Censorship","Introduced",15,1,"status","AK","West","Pacific"
"16","Alaska",NA,"Other School Restrictions","Carried over, 01/16/2024",15,1,"status_details_1","AK","West","Pacific"
"17","Alaska",NA,"School Facilities Bans",NA,15,1,"status_details_2","AK","West","Pacific"
"18","Alaska","HB 174","Other Anti-LGBTQ Bills","Advancing",18,1,"status","AK","West","Pacific"
"19","Alaska",NA,NA,"First read and referred to committee, 05/18/2023",18,1,"status_details_1","AK","West","Pacific"
"20","Alaska",NA,NA,"Carried over, 01/16/2024",23,1,"status_details_1","AK","West","Pacific"
"21","Alaska","SB 96","Curriculum Censorship","Advancing",20,1,"status","AK","West","Pacific"
"22","Alaska",NA,"Other School Restrictions","First read and referred to committee, 03/08/2023",20,1,"status_details_1","AK","West","Pacific"
"23","Alaska",NA,"School Facilities Bans",NA,20,1,"status_details_2","AK","West","Pacific"
"24","Alaska","HB 27","School Sports Bans","Introduced",23,1,"status","AK","West","Pacific"
"25","Arizona","SB 1028","Free Speech & Expression Bans","Defeated",25,1,"status","AZ","West","Mountain"
"26","Arizona",NA,NA,"Governor vetoed, 06/16/2023",25,1,"status_details_1","AZ","West","Mountain"
"27","Arizona","SB 1026","Free Speech & Expression Bans","Defeated",27,1,"status","AZ","West","Mountain"
"28","Arizona",NA,NA,"Governor vetoed, 06/16/2023",27,1,"status_details_1","AZ","West","Mountain"
"29","Arizona","SB 1001","Restricting Student & Educator Rights","Defeated",29,1,"status","AZ","West","Mountain"
"30","Arizona",NA,"Weakening Civil Rights Laws","Governor vetoed, 05/19/2023",29,1,"status_details_1","AZ","West","Mountain"
"31","Arizona","SB 1030","Free Speech & Expression Bans","Defeated",31,1,"status","AZ","West","Mountain"
"32","Arizona",NA,NA,"Governor vetoed, 06/16/2023",31,1,"status_details_1","AZ","West","Mountain"
"33","Arizona","SB 1700","Restricting Student & Educator Rights","Defeated",37,1,"status","AZ","West","Mountain"
"34","Arizona",NA,NA,"Dead, 07/31/2023",37,1,"status_details_1","AZ","West","Mountain"
"35","Arizona","SB 1698","Free Speech & Expression Bans","Defeated",39,1,"status","AZ","West","Mountain"
"36","Arizona",NA,NA,"Governor vetoed, 06/16/2023",39,1,"status_details_1","AZ","West","Mountain"
"37","Arizona","SB 1417","Other Anti-LGBTQ Bills","Defeated",41,1,"status","AZ","West","Mountain"
"38","Arizona",NA,NA,"Dead, 07/31/2023",41,1,"status_details_1","AZ","West","Mountain"
"39","Arizona","SB 1694","Other Anti-LGBTQ Bills","Defeated",43,1,"status","AZ","West","Mountain"
"40","Arizona",NA,NA,"Dead, 07/31/2023",43,1,"status_details_1","AZ","West","Mountain"
"41","Arizona","HB 2711","Restricting Student & Educator Rights","Defeated",45,1,"status","AZ","West","Mountain"
"42","Arizona",NA,NA,"Dead, 07/31/2023",45,1,"status_details_1","AZ","West","Mountain"
"43","Arizona","SB 1040","Restricting Student & Educator Rights","Defeated",33,1,"status","AZ","West","Mountain"
"44","Arizona",NA,NA,"Governor vetoed, 06/08/2023",33,1,"status_details_1","AZ","West","Mountain"
"45","Arizona","SB 1702","Healthcare Restrictions","Defeated",35,1,"status","AZ","West","Mountain"
"46","Arizona",NA,NA,"Dead, 07/31/2023",35,1,"status_details_1","AZ","West","Mountain"
"47","Arkansas","SB 125","Restricting Student & Educator Rights","Passed into Law",51,1,"status","AR","South","West South Central"
"48","Arkansas",NA,NA,"Became law, 04/11/2023",51,1,"status_details_1","AR","South","West South Central"
"49","Arkansas","SB 199","Healthcare Restrictions","Passed into Law",53,1,"status","AR","South","West South Central"
"50","Arkansas",NA,NA,"Became act without Governor’s signature, 03/16/2023",53,1,"status_details_1","AR","South","West South Central"
"51","Arkansas","SB 270","Public Accommodation Bans","Passed into Law",55,1,"status","AR","South","West South Central"
"52","Arkansas",NA,"Other Anti-LGBTQ Bills","Became act, 04/11/2023",55,1,"status_details_1","AR","South","West South Central"
"53","Arkansas","HB 1468","Restricting Student & Educator Rights","Passed into Law",57,1,"status","AR","South","West South Central"
"54","Arkansas",NA,NA,"Became law, 04/11/2023",57,1,"status_details_1","AR","South","West South Central"
"55","Arkansas","SB 294","Restricting Student & Educator Rights","Passed into Law",59,1,"status","AR","South","West South Central"
"56","Arkansas","HB 1156","Restricting Student & Educator Rights","Passed into Law",47,1,"status","AR","South","West South Central"
"57","Arkansas",NA,NA,"Enacted, 03/21/2023",47,1,"status_details_1","AR","South","West South Central"
"58","Arkansas","SB 43","Free Speech & Expression Bans","Passed into Law",49,1,"status","AR","South","West South Central"
"59","Arkansas",NA,NA,"Became act, 02/27/2023",49,1,"status_details_1","AR","South","West South Central"
"60","Arkansas",NA,NA,"Dead, 05/01/2023",63,1,"status_details_1","AR","South","West South Central"
"61","Arkansas",NA,NA,"Became act without Governor's signature, 03/14/2023",59,1,"status_details_1","AR","South","West South Central"
"62","Arkansas","HB 1615","Weakening Civil Rights Laws","Passed into Law",61,1,"status","AR","South","West South Central"
"63","Arkansas",NA,NA,"Became act, 04/12/2023",61,1,"status_details_1","AR","South","West South Central"
"64","Arkansas","HB 1738","Restricting Student & Educator Rights","Defeated",63,1,"status","AR","South","West South Central"
"65","California","AB 1314","Restricting Student & Educator Rights","Defeated",65,1,"status","CA","West","Pacific"
"66","California",NA,NA,"Held in Education Committee, 04/10/2023",65,1,"status_details_1","CA","West","Pacific"
